"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"離職率（前年差）","D建設業","３０人以上","2011.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"離職率（前年差）","D建設業","３０人以上","2012.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"離職率","E製造業","３０人以上","2006.0","1.49","1.3","0.81","1.38","1.56","2.49","0.94","0.88","1.8","1.29","2.74","1.86","0.83"
"離職率","E製造業","３０人以上","2007.0","1.11","0.89","0.9","1.08","1.84","1.35","1.08","1.41","0.89","1.11","1.24","0.61","0.87"
"離職率","E製造業","３０人以上","2008.0","1.02","0.61","1.07","1.2","1.37","0.88","1.28","0.87","0.86","1.22","1.4","0.91","0.57"
"離職率","E製造業","３０人以上","2009.0","1.11","0.93","1.14","2.03","1.72","0.7","1.3","1.65","0.94","0.67","0.85","0.77","0.6"
"離職率","E製造業","３０人以上","2010.0","0.88","0.82","1.1","0.94","1.18","1.42","0.6","0.72","0.72","0.86","0.66","0.61","0.89"
"離職率","E製造業","３０人以上","2011.0","0.86","0.68","0.54","0.9","1.13","1.38","0.87","0.74","0.66","0.88","0.75","0.96","0.86"
"離職率","E製造業","３０人以上","2012.0","1.13","1.52","1.1","0.93","1.55","1.43","1.1","0.95","0.71","1.16","1.49","0.77","0.83"
"離職率（前年差）","E製造業","３０人以上","2007.0","-0.38","-0.41","0.09","-0.3","0.28","-1.14","0.14","0.53","-0.91","-0.18","-1.5","-1.25","0.04"
"離職率（前年差）","E製造業","３０人以上","2008.0","-0.09","-0.28","0.17","0.12","-0.47","-0.47","0.2","-0.54","-0.03","0.11","0.16","0.3","-0.3"
"離職率（前年差）","E製造業","３０人以上","2009.0","0.09","0.32","0.07","0.83","0.35","-0.18","0.02","0.78","0.08","-0.55","-0.55","-0.14","0.03"
"離職率（前年差）","E製造業","３０人以上","2010.0","-0.23","-0.11","-0.04","-1.09","-0.54","0.72","-0.7","-0.93","-0.22","0.19","-0.19","-0.16","0.29"
"離職率（前年差）","E製造業","３０人以上","2011.0","-0.02","-0.14","-0.56","-0.04","-0.05","-0.04","0.27","0.02","-0.06","0.02","0.09","0.35","-0.03"
"離職率（前年差）","E製造業","３０人以上","2012.0","0.27","0.84","0.56","0.03","0.42","0.05","0.23","0.21","0.05","0.28","0.74","-0.19","-0.03"
"離職率","F電気・ガス・熱供給・水道業","３０人以上","2006.0","0.66","0.15","1.84","0.15","0.15","0.15","0.2","0.0","3.77","0.2","0.59","0.0","0.69"
"離職率","F電気・ガス・熱供給・水道業","３０人以上","2007.0","0.88","0.0","1.9","0.19","1.9","0.2","3.97","0.43","0.43","0.0","0.44","0.19","0.87"
"離職率","F電気・ガス・熱供給・水道業","３０人以上","2008.0","0.86","0.0","2.95","0.82","0.44","0.2","0.64","1.29","2.29","0.19","0.0","0.0","1.48"
"離職率","F電気・ガス・熱供給・水道業","３０人以上","2009.0","1.0","0.0","1.6","2.91","4.26","1.18","0.39","0.61","0.17","0.17","0.55","0.17","0.0"
"離職率","F電気・ガス・熱供給・水道業","３０人以上","2010.0","0.86","0.0","0.17","3.16","4.48","0.17","0.72","0.33","0.38","0.0","0.38","0.17","0.38"
"離職率","F電気・ガス・熱供給・水道業","３０人以上","2011.0","1.12","0.0","1.49","1.28","4.0","0.39","0.56","0.96","0.38","0.16","0.69","0.37","3.11"
"離職率","F電気・ガス・熱供給・水道業","３０人以上","2012.0","1.16","0.46","0.39","2.17","0.97","0.34","0.28","1.63","6.38","0.0","0.0","0.3","0.96"
"離職率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2007.0","0.22","-0.15","0.06","0.04","1.75","0.05","3.77","0.43","-3.34","-0.2","-0.15","0.19","0.18"
"離職率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2008.0","-0.02","0.0","1.05","0.63","-1.46","0.0","-3.33","0.86","1.86","0.19","-0.44","-0.19","0.61"
"離職率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2009.0","0.14","0.0","-1.35","2.09","3.82","0.98","-0.25","-0.68","-2.12","-0.02","0.55","0.17","-1.48"
"離職率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2010.0","-0.14","0.0","-1.43","0.25","0.22","-1.01","0.33","-0.28","0.21","-0.17","-0.17","0.0","0.38"
"離職率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2011.0","0.26","0.0","1.32","-1.88","-0.48","0.22","-0.16","0.63","0.0","0.16","0.31","0.2","2.73"
"離職率（前年差）","F電気・ガス・熱供給・水道業","３０人以上","2012.0","0.04","0.46","-1.1","0.89","-3.03","-0.05","-0.28","0.67","6.0","-0.16","-0.69","-0.07","-2.15"
"離職率","G情報通信業","３０人以上","2006.0","1.09","1.57","0.85","0.41","2.52","0.97","1.24","1.29","2.39","0.66","0.86","0.08","0.23"
"離職率","G情報通信業","３０人以上","2007.0","1.89","1.68","0.31","1.08","2.5","1.0","0.94","1.31","2.69","1.66","5.24","2.38","1.83"
"離職率","G情報通信業","３０人以上","2008.0","2.01","2.15","0.91","1.8","3.27","1.49","1.5","5.98","1.66","1.74","1.3","1.7","0.65"
"離職率","G情報通信業","３０人以上","2009.0","2.7","21.28","0.59","2.7","4.3","0.61","0.7","0.45","0.82","0.53","0.15","0.08","0.18"
"離職率","G情報通信業","３０人以上","2010.0","0.83","0.0","0.45","0.0","1.76","1.31","0.0","5.62","0.0","0.53","0.1","0.19","0.0"
"離職率","G情報通信業","３０人以上","2011.0","0.95","0.09","0.27","0.18","5.11","1.04","0.09","3.45","0.51","0.28","0.09","0.33","0.0"
"離職率","G情報通信業","３０人以上","2012.0","1.3","0.51","2.21","1.28","2.06","0.44","1.26","0.91","4.66","0.53","0.41","0.86","0.41"
"離職率（前年差）","G情報通信業","３０人以上","2007.0","0.8","0.11","-0.54","0.67","-0.02","0.03","-0.3","0.02","0.3","1.0","4.38","2.3","1.6"
"離職率（前年差）","G情報通信業","３０人以上","2008.0","0.12","0.47","0.6","0.72","0.77","0.49","0.56","4.67","-1.03","0.08","-3.94","-0.68","-1.18"
"離職率（前年差）","G情報通信業","３０人以上","2009.0","0.69","19.13","-0.32","0.9","1.03","-0.88","-0.8","-5.53","-0.84","-1.21","-1.15","-1.62","-0.47"
"離職率（前年差）","G情報通信業","３０人以上","2010.0","-1.87","-21.28","-0.14","-2.7","-2.54","0.7","-0.7","5.17","-0.82","0.0","-0.05","0.11","-0.18"
"離職率（前年差）","G情報通信業","３０人以上","2011.0","0.12","0.09","-0.18","0.18","3.35","-0.27","0.09","-2.17","0.51","-0.25","-0.01","0.14","0.0"
"離職率（前年差）","G情報通信業","３０人以上","2012.0","0.35","0.42","1.94","1.1","-3.05","-0.6","1.17","-2.54","4.15","0.25","0.32","0.53","0.41"
"離職率","H運輸業、郵便業","３０人以上","2006.0","0.85","0.8","0.43","0.1","0.91","0.87","0.93","1.05","0.41","0.85","1.69","0.81","1.34"
"離職率","H運輸業、郵便業","３０人以上","2007.0","0.92","0.43","0.78","1.09","1.45","0.69","1.11","1.32","0.94","1.0","1.01","0.66","0.54"
"離職率","H運輸業、郵便業","３０人以上","2008.0","0.88","0.46","0.33","0.82","1.09","0.97","0.99","1.1","0.68","1.21","0.89","1.33","0.74"
"離職率","H運輸業、郵便業","３０人以上","2009.0","1.9","1.53","2.0","2.16","2.24","1.58","3.84","1.05","1.7","0.45","1.2","3.14","1.93"
"離職率","H運輸業、郵便業","３０人以上","2010.0","2.04","5.68","0.75","0.97","1.18","1.71","4.01","4.98","1.35","0.79","1.84","0.92","0.25"
"離職率","H運輸業、郵便業","３０人以上","2011.0","1.3","3.65","0.93","1.21","0.77","1.26","1.16","0.88","1.18","1.41","1.31","0.76","1.08"
"離職率","H運輸業、郵便業","３０人以上","2012.0","1.54","2.57","0.17","2.03","2.26","1.2","1.75","0.83","0.6","1.1","1.61","0.87","3.5"
"離職率（前年差）","H運輸業、郵便業","３０人以上","2007.0","0.07","-0.37","0.35","0.99","0.54","-0.18","0.18","0.27","0.53","0.15","-0.68","-0.15","-0.8"
"離職率（前年差）","H運輸業、郵便業","３０人以上","2008.0","-0.04","0.03","-0.45","-0.27","-0.36","0.28","-0.12","-0.22","-0.26","0.21","-0.12","0.67","0.2"
"離職率（前年差）","H運輸業、郵便業","３０人以上","2009.0","1.02","1.07","1.67","1.34","1.15","0.61","2.85","-0.05","1.02","-0.76","0.31","1.81","1.19"
"離職率（前年差）","H運輸業、郵便業","３０人以上","2010.0","0.14","4.15","-1.25","-1.19","-1.06","0.13","0.17","3.93","-0.35","0.34","0.64","-2.22","-1.68"
"離職率（前年差）","H運輸業、郵便業","３０人以上","2011.0","-0.74","-2.03","0.18","0.24","-0.41","-0.45","-2.85","-4.1","-0.17","0.62","-0.53","-0.16","0.83"
"離職率（前年差）","H運輸業、郵便業","３０人以上","2012.0","0.24","-1.08","-0.76","0.82","1.49","-0.06","0.59","-0.05","-0.58","-0.31","0.3","0.11","2.42"
"離職率","I卸売業・小売業","３０人以上","2006.0","2.36","2.87","3.65","2.22","2.35","2.6","1.89","2.29","1.76","2.89","3.34","1.26","1.22"
"離職率","I卸売業・小売業","３０人以上","2007.0","2.32","0.51","2.26","1.5","1.87","2.64","2.4","1.98","2.18","6.94","2.03","1.81","1.66"
"離職率","I卸売業・小売業","３０人以上","2008.0","1.32","0.56","2.0","1.02","2.1","1.58","0.75","0.83","2.53","1.39","0.87","1.69","0.51"
"離職率","I卸売業・小売業","３０人以上","2009.0","1.77","0.89","5.09","1.81","2.1","1.77","1.57","1.24","1.58","1.38","1.11","2.02","0.66"
"離職率","I卸売業・小売業","３０人以上","2010.0","2.07","3.24","2.59","1.37","0.78","3.36","2.49","2.18","3.12","0.74","1.9","1.2","1.83"
"離職率","I卸売業・小売業","３０人以上","2011.0","2.21","1.54","3.52","0.8","1.62","1.7","1.03","1.49","0.95","0.9","9.09","1.85","2.05"
"離職率","I卸売業・小売業","３０人以上","2012.0","1.91","0.93","1.06","2.36","2.36","3.58","4.33","1.01","0.95","1.41","2.41","1.41","1.06"
"離職率（前年差）","I卸売業・小売業","３０人以上","2007.0","-0.04","-2.36","-1.39","-0.72","-0.48","0.04","0.51","-0.31","0.42","4.05","-1.31","0.55","0.44"
"離職率（前年差）","I卸売業・小売業","３０人以上","2008.0","-1.0","0.05","-0.26","-0.48","0.23","-1.06","-1.65","-1.15","0.35","-5.55","-1.16","-0.12","-1.15"
"離職率（前年差）","I卸売業・小売業","３０人以上","2009.0","0.45","0.33","3.09","0.79","0.0","0.19","0.82","0.41","-0.95","-0.01","0.24","0.33","0.15"
"離職率（前年差）","I卸売業・小売業","３０人以上","2010.0","0.3","2.35","-2.5","-0.44","-1.32","1.59","0.92","0.94","1.54","-0.64","0.79","-0.82","1.17"
"離職率（前年差）","I卸売業・小売業","３０人以上","2011.0","0.14","-1.7","0.93","-0.57","0.84","-1.66","-1.46","-0.69","-2.17","0.16","7.19","0.65","0.22"
"離職率（前年差）","I卸売業・小売業","３０人以上","2012.0","-0.3","-0.61","-2.46","1.56","0.74","1.88","3.3","-0.48","0.0","0.51","-6.68","-0.44","-0.99"
"離職率","J金融業・保険業","３０人以上","2006.0","3.25","1.23","2.31","0.77","5.03","2.03","0.65","1.49","1.02","0.74","21.84","0.85","1.04"
"離職率","J金融業・保険業","３０人以上","2007.0","2.9","3.33","2.39","2.4","5.19","1.57","2.81","2.3","1.0","2.44","6.24","2.91","2.27"
"離職率","J金融業・保険業","３０人以上","2008.0","2.64","1.03","1.9","2.53","3.96","4.17","2.27","1.3","1.4","4.64","4.42","2.13","1.88"
"離職率","J金融業・保険業","３０人以上","2009.0","2.56","0.32","0.32","0.64","8.71","0.63","7.76","0.98","0.34","1.65","5.97","0.98","2.36"
"離職率","J金融業・保険業","３０人以上","2010.0","1.81","0.69","0.34","1.0","4.43","1.31","3.35","0.69","0.35","0.0","6.75","0.35","2.41"
"離職率","J金融業・保険業","３０人以上","2011.0","2.01","0.7","0.0","0.35","7.58","0.0","2.71","3.43","0.0","0.7","5.89","1.05","1.7"
"離職率","J金融業・保険業","３０人以上","2012.0","2.42","2.16","1.34","1.33","6.32","1.0","2.71","1.76","0.47","2.48","6.05","1.13","2.25"
"離職率（前年差）","J金融業・保険業","３０人以上","2007.0","-0.35","2.1","0.08","1.63","0.16","-0.46","2.16","0.81","-0.02","1.7","-15.6","2.06","1.23"
"離職率（前年差）","J金融業・保険業","３０人以上","2008.0","-0.26","-2.3","-0.49","0.13","-1.23","2.6","-0.54","-1.0","0.4","2.2","-1.82","-0.78","-0.39"
"離職率（前年差）","J金融業・保険業","３０人以上","2009.0","-0.08","-0.71","-1.58","-1.89","4.75","-3.54","5.49","-0.32","-1.06","-2.99","1.55","-1.15","0.48"
"離職率（前年差）","J金融業・保険業","３０人以上","2010.0","-0.75","0.37","0.02","0.36","-4.28","0.68","-4.41","-0.29","0.01","-1.65","0.78","-0.63","0.05"
"離職率（前年差）","J金融業・保険業","３０人以上","2011.0","0.2","0.01","-0.34","-0.65","3.15","-1.31","-0.64","2.74","-0.35","0.7","-0.86","0.7","-0.71"
"離職率（前年差）","J金融業・保険業","３０人以上","2012.0","0.41","1.46","1.34","0.98","-1.26","1.0","0.0","-1.67","0.47","1.78","0.16","0.08","0.55"
"離職率","K不動産業、物品賃貸業","３０人以上","2010.0","3.62","1.0","1.98","6.06","9.88","2.07","0.0","7.28","6.4","1.07","3.42","3.27","1.04"
"離職率","K不動産業、物品賃貸業","３０人以上","2011.0","2.85","2.11","2.11","0.0","4.53","1.85","2.93","0.0","3.57","9.34","6.85","0.0","0.95"
"離職率","K不動産業、物品賃貸業","３０人以上","2012.0","1.25","0.0","2.17","1.9","2.83","0.82","1.05","0.59","0.0","1.6","1.7","1.5","0.8"
"離職率（前年差）","K不動産業、物品賃貸業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"離職率（前年差）","K不動産業、物品賃貸業","３０人以上","2011.0","-0.77","1.11","0.13","-6.06","-5.35","-0.22","2.93","-7.28","-2.83","8.27","3.43","-3.27","-0.09"
"離職率（前年差）","K不動産業、物品賃貸業","３０人以上","2012.0","-1.6","-2.11","0.06","1.9","-1.7","-1.03","-1.88","0.59","-3.57","-7.74","-5.15","1.5","-0.15"
"離職率","L学術研究、専門･技術サービス業","３０人以上","2010.0","1.4","0.57","1.55","1.13","9.39","0.0","0.42","0.21","0.21","0.42","0.98","0.63","1.34"
"離職率","L学術研究、専門･技術サービス業","３０人以上","2011.0","1.66","0.78","0.99","1.41","11.51","0.35","1.3","0.22","0.36","1.22","1.53","0.0","0.22"
"離職率","L学術研究、専門･技術サービス業","３０人以上","2012.0","1.14","1.05","0.33","2.76","5.62","0.21","0.0","0.32","0.19","0.31","0.5","0.31","2.11"
"離職率（前年差）","L学術研究、専門･技術サービス業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"離職率（前年差）","L学術研究、専門･技術サービス業","３０人以上","2011.0","0.26","0.21","-0.56","0.28","2.12","0.35","0.88","0.01","0.15","0.8","0.55","-0.63","-1.12"
"離職率（前年差）","L学術研究、専門･技術サービス業","３０人以上","2012.0","-0.52","0.27","-0.66","1.35","-5.89","-0.14","-1.3","0.1","-0.17","-0.91","-1.03","0.31","1.89"
"離職率","M宿泊業、飲食サービス業","３０人以上","2010.0","3.12","6.43","1.89","6.43","0.92","3.93","3.19","1.52","2.9","1.96","3.61","2.91","1.71"
"離職率","M宿泊業、飲食サービス業","３０人以上","2011.0","4.14","4.64","7.67","6.79","4.57","1.74","4.47","1.99","3.66","3.26","6.1","2.63","2.11"
"離職率","M宿泊業、飲食サービス業","３０人以上","2012.0","3.22","2.22","2.55","5.0","4.74","5.02","2.77","3.63","4.07","0.99","2.75","1.53","3.34"
"離職率（前年差）","M宿泊業、飲食サービス業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"離職率（前年差）","M宿泊業、飲食サービス業","３０人以上","2011.0","1.02","-1.79","5.78","0.36","3.65","-2.19","1.28","0.47","0.76","1.3","2.49","-0.28","0.4"
"離職率（前年差）","M宿泊業、飲食サービス業","３０人以上","2012.0","-0.92","-2.42","-5.12","-1.79","0.17","3.28","-1.7","1.64","0.41","-2.27","-3.35","-1.1","1.23"
"離職率","N生活関連サービス業、娯楽業","３０人以上","2010.0","1.48","0.63","1.27","1.88","0.63","1.23","1.84","2.43","1.22","2.41","2.41","0.59","1.18"
"離職率","N生活関連サービス業、娯楽業","３０人以上","2011.0","2.5","1.73","0.0","2.86","1.18","1.16","6.4","2.38","1.78","2.34","4.71","2.4","3.01"
"離職率","N生活関連サービス業、娯楽業","３０人以上","2012.0","5.65","0.0","2.0","3.8","4.56","2.51","7.03","7.59","1.23","6.29","7.34","2.16","23.26"
"離職率（前年差）","N生活関連サービス業、娯楽業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"離職率（前年差）","N生活関連サービス業、娯楽業","３０人以上","2011.0","1.02","1.1","-1.27","0.98","0.55","-0.07","4.56","-0.05","0.56","-0.07","2.3","1.81","1.83"
"離職率（前年差）","N生活関連サービス業、娯楽業","３０人以上","2012.0","3.15","-1.73","2.0","0.94","3.38","1.35","0.63","5.21","-0.55","3.95","2.63","-0.24","20.25"
"離職率","O教育，学習支援業","３０人以上","2006.0","2.84","0.6","0.46","11.66","11.49","0.25","1.23","0.89","4.3","1.16","0.74","0.26","1.08"
"離職率","O教育，学習支援業","３０人以上","2007.0","1.55","0.21","0.09","6.66","8.9","0.1","0.15","0.85","1.14","0.1","0.2","0.15","0.1"
"離職率","O教育，学習支援業","３０人以上","2008.0","1.54","0.03","0.42","0.99","15.16","0.28","0.55","0.03","0.47","0.18","0.18","0.07","0.14"
"離職率","O教育，学習支援業","３０人以上","2009.0","2.27","0.15","2.11","5.41","9.26","0.21","0.78","3.56","2.56","0.91","0.89","0.09","1.31"
"離職率","O教育，学習支援業","３０人以上","2010.0","2.83","0.25","3.78","4.66","18.29","0.14","0.73","1.22","2.28","1.48","0.72","0.14","0.28"
"離職率","O教育，学習支援業","３０人以上","2011.0","2.82","0.28","0.7","4.51","21.86","0.05","0.28","0.76","1.41","2.26","0.33","0.67","0.72"
"離職率","O教育，学習支援業","３０人以上","2012.0","1.85","0.18","0.34","4.16","9.08","0.93","0.63","2.26","0.52","2.88","0.51","0.43","0.29"
"離職率（前年差）","O教育，学習支援業","３０人以上","2007.0","-1.29","-0.39","-0.37","-5.0","-2.59","-0.15","-1.08","-0.04","-3.16","-1.06","-0.54","-0.11","-0.98"
"離職率（前年差）","O教育，学習支援業","３０人以上","2008.0","-0.01","-0.18","0.33","-5.67","6.26","0.18","0.4","-0.82","-0.67","0.08","-0.02","-0.08","0.04"
"離職率（前年差）","O教育，学習支援業","３０人以上","2009.0","0.73","0.12","1.69","4.42","-5.9","-0.07","0.23","3.53","2.09","0.73","0.71","0.02","1.17"
"離職率（前年差）","O教育，学習支援業","３０人以上","2010.0","0.56","0.1","1.67","-0.75","9.03","-0.07","-0.05","-2.34","-0.28","0.57","-0.17","0.05","-1.03"
"離職率（前年差）","O教育，学習支援業","３０人以上","2011.0","-0.01","0.03","-3.08","-0.15","3.57","-0.09","-0.45","-0.46","-0.87","0.78","-0.39","0.53","0.44"
"離職率（前年差）","O教育，学習支援業","３０人以上","2012.0","-0.97","-0.1","-0.36","-0.35","-12.78","0.88","0.35","1.5","-0.89","0.62","0.18","-0.24","-0.43"
"離職率","P医療，福祉","３０人以上","2006.0","1.45","1.12","1.28","2.26","4.56","1.16","1.25","1.49","1.35","0.82","0.9","0.35","0.88"
"離職率","P医療，福祉","３０人以上","2007.0","1.58","1.19","1.54","1.54","5.53","1.38","1.41","1.13","1.36","1.29","1.38","0.25","0.91"
"離職率","P医療，福祉","３０人以上","2008.0","1.38","0.73","0.31","0.84","4.52","1.34","1.59","1.08","0.66","0.93","3.18","0.81","0.59"
"離職率","P医療，福祉","３０人以上","2009.0","1.57","1.08","1.15","0.9","6.47","0.72","0.04","1.7","0.77","1.08","1.94","1.38","1.61"
"離職率","P医療，福祉","３０人以上","2010.0","1.96","1.46","1.02","0.93","8.73","1.37","1.98","1.44","0.89","0.39","3.44","0.86","0.99"
"離職率","P医療，福祉","３０人以上","2011.0","1.69","2.12","0.44","1.21","6.12","1.46","0.99","1.33","1.3","2.08","1.24","1.54","0.39"
"離職率","P医療，福祉","３０人以上","2012.0","1.59","0.98","0.97","1.17","2.76","1.57","0.71","1.45","1.89","3.95","1.31","1.31","0.95"
"離職率（前年差）","P医療，福祉","３０人以上","2007.0","0.13","0.07","0.26","-0.72","0.97","0.22","0.16","-0.36","0.01","0.47","0.48","-0.1","0.03"
"離職率（前年差）","P医療，福祉","３０人以上","2008.0","-0.2","-0.46","-1.23","-0.7","-1.01","-0.04","0.18","-0.05","-0.7","-0.36","1.8","0.56","-0.32"
"離職率（前年差）","P医療，福祉","３０人以上","2009.0","0.19","0.35","0.84","0.06","1.95","-0.62","-1.55","0.62","0.11","0.15","-1.24","0.57","1.02"
"離職率（前年差）","P医療，福祉","３０人以上","2010.0","0.39","0.38","-0.13","0.03","2.26","0.65","1.94","-0.26","0.12","-0.69","1.5","-0.52","-0.62"
"離職率（前年差）","P医療，福祉","３０人以上","2011.0","-0.27","0.66","-0.58","0.28","-2.61","0.09","-0.99","-0.11","0.41","1.69","-2.2","0.68","-0.6"
